"nama_komunitas","deskripsi","aktivitas","teknologi","visi_misi"
"FUN JAVA","Komunitas fun java adalah komunitas yang menaungi mahasiswa teknik informatika untuk mendukung mahasiswa dalam memperdalam skill pemrograman dengan bahasa java","It incubation, study club, membuat project dan belajar bersama mentor atau mentoring.","Java","menjadikan wadah utama bagi mahasiswa untuk mempelajari bahasa java dan bisa belajar bahasa java dalam menunjang perkuliahan"
"GDSC","Google Developer Student Clubs (GDSC) adalah program dari Google yang ditujukan untuk mahasiswa di perguruan tinggi di seluruh dunia. Tujuan dari program ini adalah untuk memberdayakan mahasiswa dalam pengembangan perangkat lunak dan teknologi terkini, serta membangun komunitas yang bersemangat dalam teknologi.","Mempelajari berbagai topik teknis dan dapatkan keterampilan baru melalui, acara, diskusi, dan aktivitas pembangunan proyek secara online dan tatap muka. pembelajaran baru untuk membangun solusi hebat bagi permasalahan lokal. Tingkatkan keterampilan, karier, dan jaringan. Feedback kepada komunitas Anda dengan membantu orang lain belajar.","php, javascript, flutter, figma, css, laravel, node.js, express.js","Visi : Menjadi wadah utama bagi mahasiswa di seluruh dunia untuk mengembangkan keterampilan teknis, berinovasi, dan menjadi pemimpin dalam industri teknologi. Misi : Memberdayakan Mahasiswa: GDSC bertujuan untuk memberdayakan mahasiswa dengan sumber daya, pelatihan, dan kesempatan untuk mengembangkan keterampilan teknis yang diperlukan dalam dunia industri teknologi yang terus berkembang, Mendorong Inovasi: GDSC mendorong mahasiswa untuk berinovasi dan menciptakan solusi teknologi yang berdampak positif bagi masyarakat dan lingkungan sekitar. Ini dilakukan melalui proyek kolaboratif, hackathon, dan kompetisi yang diadakan oleh klub, Membangun Komunitas: GDSC menciptakan lingkungan yang mendukung dan inklusif di mana mahasiswa dapat belajar, berbagi ide, dan berkolaborasi dalam pengembangan perangkat lunak dan teknologi. Ini membantu dalam membangun jaringan profesional yang kuat di kalangan mahasiswa dan profesional teknologi, Menyediakan Akses ke Sumber Daya: GDSC menyediakan akses ke sumber daya pembelajaran, pelatihan, dan dukungan teknis dari Google dan mitra-mitra teknologi lainnya. Hal ini membantu mahasiswa untuk terus belajar dan mengembangkan keterampilan mereka di bidang teknologi, Mendorong Keterlibatan dengan Komunitas Teknologi: GDSC mendorong keterlibatan aktif mahasiswa dalam komunitas teknologi di tingkat lokal dan global. Ini melibatkan partisipasi dalam acara-acara industri, konferensi, dan kegiatan-kegiatan kolaboratif dengan pihak-pihak terkait."
"DSE","DSE (Data Science Enthusiast) merupakan sebuah komunitas yang berfokus pada bidang Data Science","Di komunitas DSE kami mempelajari mengenai Data Science Life Cycle dan belajar menerapkan setiap dari cycle tersebut dari awal hingga akhir","Python","Visi: Menciptakan lingkungan mahasiswa yang memiliki concern terhadap bidang keilmuan data science (terkhusus pada bagian machine learning) Misi: Membahas dan mempelajari setiap bagian dari data science life cycle agar semua anggota komunitas memiliki pengalaman dan pemahaman yang konkret tentang data science"
"UINBUNTU","Uinbuntu adalah komunitas Open-Source dan Cloud Computing prodi Teknik Informatika Universitas Islam Negeri Maulana Malik Ibrahim Malang. Komunitas ini melakukan pengembangan perangkat lunak berbasis sistem Operasi Linux UBUNTU. Komunitas ini sangat menunjang komunitas ETH0 dalam hal penyediaan platform jaringan komputer dan sistem operasi.","Open source dapat diartikan sebagai perangkat lunak yang kode sumber atau kode dasarnya dapat digunakan oleh banyak orang. Selain itu, dengan menggunakan perangkat lunak open source ini kamu dapat mengembangkan aplikasi dan membuat perangkat lunak versi terbaru.Mempelajari open source memiliki beragam manfaat, di antaranya adalah meningkatkan pemahaman tentang teknologi, memperluas kemampuan dalam pengembangan perangkat lunak, serta memungkinkan kolaborasi dengan komunitas global untuk memecahkan masalah dan menciptakan inovasi. Dengan memahami kode sumber terbuka, individu dapat belajar dari praktik terbaik yang telah ada, mengembangkan keterampilan dalam pemrograman, dan berkontribusi pada proyek-proyek yang dapat memberikan dampak positif bagi masyarakat. Selain itu, mempelajari open source juga dapat membantu dalam mengurangi ketergantungan pada vendor tertentu, memberikan fleksibilitas dalam penggunaan dan pengembangan teknologi, serta meningkatkan keamanan dan keandalan sistem. Cloud computing adalah penyediaan sumber daya komputasi seperti server, penyimpanan data, jaringan, dan perangkat lunak melalui internet.Mempelajari cloud computing memberikan beragam manfaat, seperti memungkinkan akses mudah dan cepat terhadap sumber daya komputasi, penyimpanan data, dan aplikasi melalui internet. Dengan memahami konsep dan teknologi cloud computing, individu dapat mengoptimalkan efisiensi dan skalabilitas dalam pengelolaan infrastruktur IT, mengurangi biaya investasi awal, dan meningkatkan fleksibilitas dalam penyediaan layanan dan aplikasi. Selain itu, mempelajari cloud computing juga membuka peluang untuk eksplorasi dan adopsi teknologi baru, seperti machine learning, big data analytics, dan Internet of Things (IoT), yang dapat memberikan nilai tambah dalam berbagai bidang industri.","linux, vscode, php, javascript, python, apache http server","Visi kami adalah menjadi komunitas pembelajar open source dan cloud computing yang ulul albab. Kami berkomitmen untuk menjadi pusat pembelajaran dan pengembangan teknologi terbuka yang berkualitas dan berdaya saing tinggi. Misi kami adalah Menganalisis System Open Source, Mengembangkan System Open Source, Melakukan Kerjasama Terkait dengan Pengembangan Open Source"
"UINUX","Komunitas bagi mahasiswa TI yang ingin belajar tentang UI/UX Designer","Belajar desain bareng, meeting rutinan pengurus, design challenge, webinar UI/UX","Figma","Sebagai wadah para mahasiswa dalam mempelajari dunia UI/UX Design dan sebagai jembatan untuk menjadi seorang UI/UX Designer"
"MOCAP","Komunitas Aplikasi Mobile Teknik Informatika UIN Maulana Malik Ibrahim Malang","Course online, Workshop, Study Jam, IT INCU","Flutter, Java, Kotlin, Figma","Membantu para mahasiswa untuk mengembangkan minat dan skill dalam bidang pemrograman mobile, Update terhadap perkembangan teknologi mobile"
"ONTAKI","Komunitas yang bergerak dibidang otomasi dan robotika","Dalam ontaki biasanya para pengurusnya difokuskan untuk mengikuti lomba robotika, seperti sumo robot, soccer, drone, dan lainnya. Selain mengikuti lomba, ontaki juga mengadakan workshop mengenai robotika, dan juga mengadakan belajar bareng karena di beberapa semester masih ada mata kuliah yang berkaitan dengan ontaki seperti elektronika digital dan sistem komputer. ","Arduino uno, python, c++, solid work","Visi: Menciptakan komunitas yang menjadi pusat inovasi dalam bidang otomasi dan robotika, di mana anggotanya dapat mengembangkan kreativitas dan keahlian mereka untuk merancang solusi teknologi masa depan. Misi: Mendorong partisipasi aktif anggota dalam berbagai lomba robotika seperti sumo robot, soccer, drone, dan kompetisi sejenis untuk menguji dan memperbaiki keterampilan teknis mereka, Menyelenggarakan workshop rutin mengenai robotika untuk memperluas pengetahuan dan keterampilan anggota dalam pengembangan teknologi otomasi, Mengadakan kegiatan belajar bareng untuk membahas topik-topik yang berkaitan dengan mata kuliah seperti elektronika digital dan sistem komputer, sehingga anggota dapat menerapkan konsep-konsep tersebut dalam proyek-proyek praktis, Membangun jaringan kolaborasi dengan industri dan lembaga pendidikan untuk mendukung pengembangan karier anggota dan mendorong adopsi teknologi otomasi yang berkelanjutan, Menjadi wadah bagi inovasi dan eksperimen dalam otomasi dan robotika, dengan tujuan utama meningkatkan efisiensi, produktivitas, dan kualitas hidup melalui penerapan teknologi canggih."
"MAMUD","Mamud kepanjangan dari manusia multimedia , yang pastinya bergerak di bidang multimedia","Sharing session untuk memperdalam dunia ke multimediaan khususnya anggota mamud sendiri, study camp guna untuk belajar bersama untuk menyelesaikan permasalahan yang ada di mata kuliah yang bersangkutan dengan multimedia","Figma, unity , 3d blender, c#","Visi : mewujudkan Mamud sebagai komunitas yang kreatif dan inovatif Misi : 1. menyelenggarakan pembelajaran dalam mendalami dunia multimedia 2. Melaksanakan kegiatan dalam dunia kreatif"
"WEBONDER","Weboender merupakan komunitas yang ada di prodi Teknik Informatika UIN Malang yang bergerak pada bidang web development. Komunitas ini menaungi mahasiswa UIN Malang khususnya prodi Teknik Informatika yang mempunyai minat atau ketertarikan di bidang web development. Komunitas ini juga akan mengajak para mahasiswa untuk menggali lebih dalam tentang pemahaman web development.","Ada beberapa aktivitas yang ada di Weboender yaitu Study Club, Bootcamp, dan Sharing Session. Study club merupakan event dari Weboender untuk berkumpul secara berkala untuk mendalami topik-topik tertentu dalam pengembangan web. Bootcamp merupakan event tahunan yang diselenggarakan oleh Weboender, Bootcamp ini juga merupakan event terbesar dalam komunitas ini. Untuk program yang sudah terlaksana yaitu Bootcamp Laravel. Bootcamp Laravel adalah program intensif yang dirancang untuk memberikan pelatihan mendalam tentang pengembangan web menggunakan framework Laravel. Sharing session adalah forum terbuka dimana anggota komunitas dapat berbagi pengalaman, ide, atau pengetahuan tentang pengembangan web. Tujuan utama dari sharing session adalah untuk memfasilitasi pertukaran informasi dan pengalaman antar anggota sehingga mereka dapat belajar satu sama lain dan memperluas relasi atau wawasan mereka.","PHP, Javascript, Laravel, CSS, Figma.","Visi : Menjadikan Weboender sebagai wadah bagi mahasiswa dalam mengembangkan keahlian khususnya di bidang web development. Misi : Mengajak mahasiswa untuk menggali atau memahami lebih dalam tentang dunia web development. Memberikan edukasi kepada mahasiswa tentang web development melalui acara-acara yang ada pada Weboender. Menciptakan forum terbuka untuk pegiat web developer khususnya di Teknik Informatika UIN Malang."
"ETH0","Komunitas yang befokus pada bidang Cyber Security","Pelatihan Cyber Security, Webinar / Seminar terkait kewaspadaan terhadap vulnerability di dunia jaringan","Aircarck-ng, NMAP, Burp Suite, Wireshark, Metasploit, Linux","Mengembangkan kemampuan mahasiswa di bidang Cyber Security juga memberikan perhatian terhadap pentingnya pemahaman kerentanan keamanan kepada masyarakat luas"
